N,P,K,temperature,humidity,ph,rainfall,label
74,58,42,24.489939,80.780093,5.311989,186.970033,rice
93,50,42,20.154384,84.849549,6.664885,205.480693,rice
67,39,38,23.935673,82.159725,5.582458,253.422347,rice
65,42,38,23.420525,83.92588,5.399348,241.708133,rice
83,36,41,21.278931,80.325258,6.897771,295.875844,rice
91,42,35,25.131748,82.200762,5.244076,239.421229,rice
61,57,37,24.968917,81.558555,6.040136,245.605234,rice
67,59,42,27.046242,84.474137,6.1958,290.624908,rice
63,39,35,22.439977,81.943386,5.542698,279.448501,rice
73,42,40,21.056932,84.010985,5.149101,298.426432,rice
90,39,35,26.115961,83.534287,6.458014,272.552442,rice
62,43,36,26.473276,83.116491,5.661796,187.627002,rice
72,43,42,24.781681,84.436064,5.94443,194.35131,rice
87,54,40,25.782254,82.468978,6.045466,231.304922,rice
60,37,35,24.773078,81.57178,6.017141,288.907977,rice
69,45,42,21.715986,80.3849,5.579503,199.346554,rice
96,55,41,26.535954,84.01836,5.37314,287.10708,rice
81,55,43,22.385026,80.55026,5.45587,231.252935,rice
91,56,35,23.830605,82.087055,5.444216,194.383844,rice
73,58,38,23.89093,83.515095,5.727259,296.61385,rice
97,41,39,22.256587,81.424202,5.073774,253.14772,rice
79,36,37,26.811994,81.197809,5.28979,238.734331,rice
98,41,41,25.712147,81.188188,6.456433,224.133976,rice
84,50,40,20.677173,84.176512,5.64156,202.382221,rice
61,49,41,20.124409,82.560465,5.452992,257.420735,rice
66,52,38,27.025475,80.687605,5.682133,193.616823,rice
96,56,37,24.94988,84.086111,6.110402,243.558069,rice
69,37,43,26.753135,83.165507,5.67806,221.905149,rice
88,57,43,25.849067,83.210158,5.16828,199.395446,rice
95,50,35,20.761037,83.317509,5.010123,199.296966,rice
81,52,41,21.68202,83.560896,5.474498,219.047964,rice
89,51,43,24.932097,82.841543,5.18735,224.125896,rice
70,41,44,22.948233,84.460233,6.262277,275.377356,rice
79,49,39,21.464322,83.612261,5.561545,182.917916,rice
85,39,44,27.154464,84.574322,5.740317,181.854794,rice
96,45,44,27.22715,84.265047,5.588898,226.211727,rice
93,42,36,24.176009,84.680774,6.39206,248.40734,rice
63,50,44,21.05063,82.591648,6.754746,268.892234,rice
87,52,38,22.201939,84.046806,6.620227,284.048678,rice
95,47,40,25.987214,83.24982,6.403934,275.49512,rice
94,43,38,20.704865,82.891401,5.071885,235.871762,rice
81,42,40,20.228752,80.186741,6.645201,223.222877,rice
64,48,42,21.618658,83.114452,5.170695,186.201807,rice
80,48,41,25.445685,84.87926,6.032601,218.754777,rice
91,41,39,20.588423,80.126754,6.925297,280.317614,rice
87,45,36,21.173278,81.251214,6.098453,265.751511,rice
85,41,44,25.534227,82.77177,6.223441,230.352007,rice
69,43,42,20.107951,80.580363,5.092005,184.887456,rice
93,52,39,20.733756,82.458079,5.946944,200.784224,rice
76,44,41,24.763202,80.22652,5.749225,255.10319,rice
79,56,41,21.222008,80.352844,6.284839,183.181357,rice
82,58,40,22.911274,83.216441,5.916506,245.474015,rice
96,44,44,26.79013,80.978956,5.138723,192.09336,rice
60,37,41,20.533915,81.594878,6.689751,182.792632,rice
91,42,36,25.225529,83.144714,6.754944,268.208525,rice
91,42,36,25.629611,84.034174,6.98101,229.514121,rice
74,54,38,26.98068,84.292064,5.857988,270.104528,rice
89,37,44,23.789393,84.132287,5.640099,287.462787,rice
75,35,44,20.68465,81.596568,6.900124,294.072858,rice
82,50,39,22.199081,81.643323,6.345037,270.284944,rice
90,54,35,23.708152,80.287794,6.099058,232.98366,rice
94,43,36,21.072438,83.807553,6.236436,192.134721,rice
63,52,35,26.16395,83.531211,5.162698,190.180526,rice
98,44,38,26.095997,84.736243,6.972002,270.405382,rice
74,37,42,24.188032,82.12111,6.812709,193.343698,rice
79,35,39,20.422275,80.59409,5.235052,257.905236,rice
89,49,44,22.811529,81.42856,6.737198,206.831501,rice
97,35,44,20.323699,84.455716,6.055402,299.155776,rice
62,48,44,23.923234,83.146993,6.391497,234.544928,rice
84,49,44,20.340848,81.404816,6.900823,286.831654,rice
77,50,37,21.410909,82.318492,5.706704,250.038733,rice
63,59,44,25.236213,82.680482,5.619055,277.655402,rice
86,39,44,26.169029,84.749,6.451439,253.609824,rice
76,58,43,20.33914,80.131835,5.752927,277.2664,rice
98,38,40,22.856681,84.849572,6.684238,280.599445,rice
78,45,37,20.422816,84.323612,6.625802,299.966121,rice
98,48,42,27.085743,84.248237,5.494696,234.065296,rice
