district,zone,nitrogen_n,phosphorus_p,potassium_k,soil_ph,soil_texture,dominant_soil_type
jhapa,undefined,68,42,58,6.4,undefined,"undefined"
morang,undefined,60,38,50,6.2,undefined,"undefined"
sunsari,undefined,55,36,48,6.5,undefined,"undefined"
ilam,undefined,64,24,72,5.1,undefined,"undefined"
panchthar,undefined,58,28,64,5.3,undefined,"undefined"
taplejung,undefined,48,22,56,5.2,undefined,"undefined"
dhankuta,undefined,62,34,60,5.6,undefined,"undefined"
bhojpur,undefined,54,30,52,5.5,undefined,"undefined"
terhathum,undefined,56,28,58,5.4,undefined,"undefined"
sankhuwasabha,undefined,46,20,52,5.2,undefined,"undefined"
solukhumbu,undefined,38,18,44,5.4,undefined,"undefined"
khotang,undefined,52,29,50,5.5,undefined,"undefined"
okhaldhunga,undefined,50,27,48,5.6,undefined,"undefined"
udayapur,undefined,58,38,46,6.3,undefined,"undefined"
saptari,undefined,52,34,42,6.8,undefined,"undefined"
siraha,undefined,50,32,40,6.9,undefined,"undefined"
dhanusha,undefined,56,38,46,7.1,undefined,"undefined"
mahottari,undefined,54,35,44,7,undefined,"undefined"
sarlahi,undefined,62,40,48,6.8,undefined,"undefined"
rautahat,undefined,58,36,46,7.2,undefined,"undefined"
bara,undefined,64,44,52,7,undefined,"undefined"
parsa,undefined,66,46,54,7.1,undefined,"undefined"
chitwan,undefined,74,52,68,6.6,undefined,"undefined"
kathmandu,undefined,82,60,88,6.4,undefined,"undefined"
lalitpur,undefined,78,58,84,6.3,undefined,"undefined"
bhaktapur,undefined,84,64,92,6.5,undefined,"undefined"
kavrepalanchok,undefined,68,46,64,5.9,undefined,"undefined"
dhading,undefined,62,40,56,6,undefined,"undefined"
nuwakot,undefined,60,38,54,5.8,undefined,"undefined"
makwanpur,undefined,65,42,58,6.2,undefined,"undefined"
sindhupalchok,undefined,48,26,50,5.4,undefined,"undefined"
dolakha,undefined,44,22,48,5.3,undefined,"undefined"
ramechhap,undefined,46,28,44,5.8,undefined,"undefined"
sindhuli,undefined,56,36,50,6.2,undefined,"undefined"
rasuwa,undefined,40,20,46,5.2,undefined,"undefined"
gorkha,undefined,48,32,46,5.6,undefined,"undefined"
kaski,undefined,72,48,70,5.8,undefined,"undefined"
tanahun,undefined,58,36,52,6,undefined,"undefined"
syangja,undefined,64,42,62,5.9,undefined,"undefined"
lamjung,undefined,54,34,50,5.7,undefined,"undefined"
nawalpur,undefined,70,48,60,6.7,undefined,"undefined"
parbat,undefined,52,30,48,5.8,undefined,"undefined"
baglung,undefined,50,28,46,5.6,undefined,"undefined"
myagdi,undefined,44,24,46,5.5,undefined,"undefined"
mustang,undefined,28,18,82,7.4,undefined,"undefined"
manang,undefined,26,16,78,7.2,undefined,"undefined"
rupandehi,undefined,68,46,54,7.2,undefined,"undefined"
kapilvastu,undefined,64,42,50,7.3,undefined,"undefined"
nawalparasi west,undefined,66,44,52,7,undefined,"undefined"
palpa,undefined,56,34,52,5.9,undefined,"undefined"
gulmi,undefined,62,38,64,5.8,undefined,"undefined"
arghakhanchi,undefined,52,30,48,6,undefined,"undefined"
dang,undefined,66,44,52,6.8,undefined,"undefined"
pyuthan,undefined,54,32,48,6.1,undefined,"undefined"
rolpa,undefined,42,24,44,5.4,undefined,"undefined"
rukum east,undefined,40,22,46,5.3,undefined,"undefined"
banke,undefined,65,42,52,7.3,undefined,"undefined"
bardiya,undefined,72,48,58,6.9,undefined,"undefined"
surkhet,undefined,62,40,54,6.6,undefined,"undefined"
dailekh,undefined,48,28,46,5.7,undefined,"undefined"
jajarkot,undefined,46,26,44,5.6,undefined,"undefined"
rukum west,undefined,44,24,48,5.5,undefined,"undefined"
jumla,undefined,36,20,64,5.7,undefined,"undefined"
kalikot,undefined,38,22,46,5.6,undefined,"undefined"
mugu,undefined,32,18,50,5.5,undefined,"undefined"
humla,undefined,28,16,54,6.2,undefined,"undefined"
dolpa,undefined,26,16,72,7.2,undefined,"undefined"
kailali,undefined,68,46,52,7,undefined,"undefined"
kanchanpur,undefined,70,48,56,6.9,undefined,"undefined"
doti,undefined,52,32,48,6,undefined,"undefined"
achham,undefined,48,28,46,5.7,undefined,"undefined"
dadeldhura,undefined,58,36,56,5.5,undefined,"undefined"
baitadi,undefined,46,26,44,5.6,undefined,"undefined"
bajhang,undefined,38,20,48,5.4,undefined,"undefined"
bajura,undefined,34,18,44,5.3,undefined,"undefined"
darchula,undefined,36,20,50,5.4,undefined,"undefined"
